Value,Color,Description
0,356EFF,Water
1,ACB6DA,Carbonate
3,D6B879,Non-carbonate
4,313131,Alkaline intrusive
5,EDA800,Silicic residual
7,616161,Extrusive volcanic
8,D6D6D6,Colluvial sediment
9,D0DDAE,Glacial till clay
10,B8D279,Glacial till loam
11,D5D378,Glacial till coarse
13,141414,Glacial lake sediment fine
14,6DB155,Glacial outwash coarse
15,9B6D55,Hydric
16,FEEEC9,Eolian sediment coarse
17,D6B879,Eolian sediment fine
18,00B7EC,Saline lake sediment
19,FFDA90,Alluvium and coastal sediment fine
20,F8B28C,Coastal sediment coarse